"","Precision","Recall","ModelSize","Model"
"227",0.032258064516129,1,186,"Perm"
"228",0.857142857142857,1,7,"EFS"
"229",0.0925925925925926,0.833333333333333,54,"RFE"
"230",0.13953488372093,1,43,"Vita"
"231",0.333333333333333,0.833333333333333,15,"binomialRF"
"232",0.857142857142857,1,7,"VSURF"
"233",1,1,6,"Boruta"
"234",0.857142857142857,1,7,"VarSelRF"
"235",NA,0,0,"PIMP"
"236",0.206896551724138,1,29,"AUCRF"
"237",0.0348837209302326,1,172,"Perm"
"238",0.666666666666667,1,9,"EFS"
"239",0.15,1,40,"RFE"
"240",0.111111111111111,1,54,"Vita"
"241",0.5,1,12,"binomialRF"
"242",0.75,1,8,"VSURF"
"243",0.75,1,8,"Boruta"
"244",0.666666666666667,1,9,"VarSelRF"
"245",NA,0,0,"PIMP"
"246",0.333333333333333,1,18,"AUCRF"
"247",0.03125,1,192,"Perm"
"248",0.666666666666667,1,9,"EFS"
"249",0.0740740740740741,0.666666666666667,54,"RFE"
"250",0.130434782608696,1,46,"Vita"
"251",0.375,1,16,"binomialRF"
"252",0.555555555555556,0.833333333333333,9,"VSURF"
"253",0.857142857142857,1,7,"Boruta"
"254",0.666666666666667,1,9,"VarSelRF"
"255",NA,0,0,"PIMP"
"256",0.428571428571429,1,14,"AUCRF"
"257",0.0359281437125748,1,167,"Perm"
"258",0.666666666666667,1,9,"EFS"
"259",0.0526315789473684,0.5,57,"RFE"
"260",0.13953488372093,1,43,"Vita"
"261",0.461538461538462,1,13,"binomialRF"
"262",0.75,1,8,"VSURF"
"263",0.857142857142857,1,7,"Boruta"
"264",0.857142857142857,1,7,"VarSelRF"
"265",NA,0,0,"PIMP"
"266",0.545454545454545,1,11,"AUCRF"
"267",0.0309278350515464,1,194,"Perm"
"268",0.666666666666667,1,9,"EFS"
"269",0.130434782608696,1,46,"RFE"
"270",0.107142857142857,1,56,"Vita"
"271",0.6,1,10,"binomialRF"
"272",0.8,0.666666666666667,5,"VSURF"
"273",1,1,6,"Boruta"
"274",0.666666666666667,1,9,"VarSelRF"
"275",NA,0,0,"PIMP"
"276",0.428571428571429,1,14,"AUCRF"
"277",0.0344827586206897,1,174,"Perm"
"278",0.75,1,8,"EFS"
"279",0.0833333333333333,0.666666666666667,48,"RFE"
"280",0.133333333333333,1,45,"Vita"
"281",0.416666666666667,0.833333333333333,12,"binomialRF"
"282",0.857142857142857,1,7,"VSURF"
"283",1,1,6,"Boruta"
"284",0.352941176470588,1,17,"VarSelRF"
"285",NA,0,0,"PIMP"
"286",0.333333333333333,1,18,"AUCRF"
"287",0.03125,1,192,"Perm"
"288",0.75,1,8,"EFS"
"289",0.106382978723404,0.833333333333333,47,"RFE"
"290",0.136363636363636,1,44,"Vita"
"291",0.5,1,12,"binomialRF"
"292",0.666666666666667,1,9,"VSURF"
"293",1,1,6,"Boruta"
"294",0.666666666666667,1,9,"VarSelRF"
"295",NA,0,0,"PIMP"
"296",0.545454545454545,1,11,"AUCRF"
"297",0.0319148936170213,1,188,"Perm"
"298",0.857142857142857,1,7,"EFS"
"299",0.0454545454545455,0.5,66,"RFE"
"300",0.115384615384615,1,52,"Vita"
"301",0.238095238095238,0.833333333333333,21,"binomialRF"
"302",0.666666666666667,0.666666666666667,6,"VSURF"
"303",0.857142857142857,1,7,"Boruta"
"304",0.714285714285714,0.833333333333333,7,"VarSelRF"
"305",NA,0,0,"PIMP"
"306",0.162162162162162,1,37,"AUCRF"
"307",0.0315789473684211,1,190,"Perm"
"308",0.545454545454545,1,11,"EFS"
"309",0.0317460317460317,0.333333333333333,63,"RFE"
"310",0.115384615384615,1,52,"Vita"
"311",0.315789473684211,1,19,"binomialRF"
"312",0.857142857142857,1,7,"VSURF"
"313",0.666666666666667,1,9,"Boruta"
"314",0.545454545454545,1,11,"VarSelRF"
"315",NA,0,0,"PIMP"
"316",0.127659574468085,1,47,"AUCRF"
"317",0.0340909090909091,1,176,"Perm"
"318",0.75,1,8,"EFS"
"319",0.0740740740740741,0.666666666666667,54,"RFE"
"320",0.0895522388059701,1,67,"Vita"
"321",0.357142857142857,0.833333333333333,14,"binomialRF"
"322",0.714285714285714,0.833333333333333,7,"VSURF"
"323",0.857142857142857,1,7,"Boruta"
"324",0.666666666666667,1,9,"VarSelRF"
"325",NA,0,0,"PIMP"
"326",0.206896551724138,1,29,"AUCRF"
"327",0.03125,1,192,"Perm"
"328",0.75,1,8,"EFS"
"329",0.130434782608696,1,46,"RFE"
"330",0.125,1,48,"Vita"
"331",0.294117647058824,0.833333333333333,17,"binomialRF"
"332",0.714285714285714,0.833333333333333,7,"VSURF"
"333",0.857142857142857,1,7,"Boruta"
"334",0.666666666666667,1,9,"VarSelRF"
"335",NA,0,0,"PIMP"
"336",0.127659574468085,1,47,"AUCRF"
"337",0.0335195530726257,1,179,"Perm"
"338",0.666666666666667,1,9,"EFS"
"339",0.0943396226415094,0.833333333333333,53,"RFE"
"340",0.0895522388059701,1,67,"Vita"
"341",0.315789473684211,1,19,"binomialRF"
"342",0.555555555555556,0.833333333333333,9,"VSURF"
"343",0.75,1,8,"Boruta"
"344",0.666666666666667,1,9,"VarSelRF"
"345",NA,0,0,"PIMP"
"346",0.260869565217391,1,23,"AUCRF"
"347",0.0344827586206897,1,174,"Perm"
"348",0.545454545454545,1,11,"EFS"
"349",0.0930232558139535,0.666666666666667,43,"RFE"
"350",0.125,1,48,"Vita"
"351",0.416666666666667,0.833333333333333,12,"binomialRF"
"352",0.75,1,8,"VSURF"
"353",0.857142857142857,1,7,"Boruta"
"354",0.857142857142857,1,7,"VarSelRF"
"355",NA,0,0,"PIMP"
"356",0.428571428571429,1,14,"AUCRF"
"357",0.0326086956521739,1,184,"Perm"
"358",0.666666666666667,1,9,"EFS"
"359",0.0769230769230769,0.666666666666667,52,"RFE"
"360",0.142857142857143,1,42,"Vita"
"361",0.384615384615385,0.833333333333333,13,"binomialRF"
"362",0.75,0.5,4,"VSURF"
"363",0.666666666666667,1,9,"Boruta"
"364",0.75,0.5,4,"VarSelRF"
"365",NA,0,0,"PIMP"
"366",0.428571428571429,1,14,"AUCRF"
"367",0.0326086956521739,1,184,"Perm"
"368",0.6,1,10,"EFS"
"369",0.0961538461538462,0.833333333333333,52,"RFE"
"370",0.117647058823529,1,51,"Vita"
"371",0.454545454545455,0.833333333333333,11,"binomialRF"
"372",0.75,0.5,4,"VSURF"
"373",0.75,1,8,"Boruta"
"374",0.857142857142857,1,7,"VarSelRF"
"375",NA,0,0,"PIMP"
"376",0.260869565217391,1,23,"AUCRF"
"377",0.0333333333333333,1,180,"Perm"
"378",0.6,1,10,"EFS"
"379",0.121951219512195,0.833333333333333,41,"RFE"
"380",0.0882352941176471,1,68,"Vita"
"381",0.25,0.666666666666667,16,"binomialRF"
"382",0.714285714285714,0.833333333333333,7,"VSURF"
"383",0.857142857142857,1,7,"Boruta"
"384",0.833333333333333,0.833333333333333,6,"VarSelRF"
"385",NA,0,0,"PIMP"
"386",0.162162162162162,1,37,"AUCRF"
"387",0.0331491712707182,1,181,"Perm"
"388",0.666666666666667,1,9,"EFS"
"389",0.0491803278688525,0.5,61,"RFE"
"390",0.127659574468085,1,47,"Vita"
"391",0.5,0.833333333333333,10,"binomialRF"
"392",0.833333333333333,0.833333333333333,6,"VSURF"
"393",0.857142857142857,1,7,"Boruta"
"394",0.666666666666667,1,9,"VarSelRF"
"395",NA,0,0,"PIMP"
"396",0.260869565217391,1,23,"AUCRF"
"397",0.0359281437125748,1,167,"Perm"
"398",0.75,1,8,"EFS"
"399",0.117647058823529,1,51,"RFE"
"400",0.13953488372093,1,43,"Vita"
"401",0.294117647058824,0.833333333333333,17,"binomialRF"
"402",0.857142857142857,1,7,"VSURF"
"403",0.857142857142857,1,7,"Boruta"
"404",0.833333333333333,0.833333333333333,6,"VarSelRF"
"405",0,0,1,"PIMP"
"406",0.75,1,8,"AUCRF"
"407",0.0335195530726257,1,179,"Perm"
"408",0.857142857142857,1,7,"EFS"
"409",0.102040816326531,0.833333333333333,49,"RFE"
"410",0.146341463414634,1,41,"Vita"
"411",0.5,0.833333333333333,10,"binomialRF"
"412",0.714285714285714,0.833333333333333,7,"VSURF"
"413",1,1,6,"Boruta"
"414",0.666666666666667,1,9,"VarSelRF"
"415",NA,0,0,"PIMP"
"416",0.428571428571429,1,14,"AUCRF"
"417",0.0331491712707182,1,181,"Perm"
"418",0.75,1,8,"EFS"
"419",0.119047619047619,0.833333333333333,42,"RFE"
"420",0.142857142857143,1,42,"Vita"
"421",0.444444444444444,0.666666666666667,9,"binomialRF"
"422",0.75,1,8,"VSURF"
"423",1,1,6,"Boruta"
"424",0.545454545454545,1,11,"VarSelRF"
"425",NA,0,0,"PIMP"
"426",0.127659574468085,1,47,"AUCRF"
"427",0.03,1,200,"Perm"
"428",0.75,1,8,"EFS"
"429",0.109090909090909,1,55,"RFE"
"430",0.146341463414634,1,41,"Vita"
"431",0.461538461538462,1,13,"binomialRF"
"432",0.75,1,8,"VSURF"
"433",0.545454545454545,1,11,"Boruta"
"434",0.545454545454545,1,11,"VarSelRF"
"435",NA,0,0,"PIMP"
"436",0.260869565217391,1,23,"AUCRF"
"437",0.0368098159509202,1,163,"Perm"
"438",0.666666666666667,1,9,"EFS"
"439",0.127659574468085,1,47,"RFE"
"440",0.09375,1,64,"Vita"
"441",0.260869565217391,1,23,"binomialRF"
"442",0.714285714285714,0.833333333333333,7,"VSURF"
"443",1,1,6,"Boruta"
"444",0.666666666666667,1,9,"VarSelRF"
"445",NA,0,0,"PIMP"
"446",0.545454545454545,1,11,"AUCRF"
"447",0.031413612565445,1,191,"Perm"
"448",0.75,1,8,"EFS"
"449",0.102040816326531,0.833333333333333,49,"RFE"
"450",0.153846153846154,1,39,"Vita"
"451",0.3125,0.833333333333333,16,"binomialRF"
"452",0.75,1,8,"VSURF"
"453",0.857142857142857,1,7,"Boruta"
"454",0.666666666666667,1,9,"VarSelRF"
"455",NA,0,0,"PIMP"
"456",0.127659574468085,1,47,"AUCRF"
"457",0.0320855614973262,1,187,"Perm"
"458",1,1,6,"EFS"
"459",0.0925925925925926,0.833333333333333,54,"RFE"
"460",0.133333333333333,1,45,"Vita"
"461",0.545454545454545,1,11,"binomialRF"
"462",0.714285714285714,0.833333333333333,7,"VSURF"
"463",1,1,6,"Boruta"
"464",0.666666666666667,1,9,"VarSelRF"
"465",NA,0,0,"PIMP"
"466",0.127659574468085,1,47,"AUCRF"
"467",0.0350877192982456,1,171,"Perm"
"468",0.75,1,8,"EFS"
"469",0.087719298245614,0.833333333333333,57,"RFE"
"470",0.1,1,60,"Vita"
"471",0.285714285714286,0.666666666666667,14,"binomialRF"
"472",0.714285714285714,0.833333333333333,7,"VSURF"
"473",0.75,1,8,"Boruta"
"474",0.666666666666667,1,9,"VarSelRF"
"475",NA,0,0,"PIMP"
"476",0.127659574468085,1,47,"AUCRF"
"477",0.0342857142857143,1,175,"Perm"
"478",0.75,1,8,"EFS"
"479",0.0727272727272727,0.666666666666667,55,"RFE"
"480",0.105263157894737,1,57,"Vita"
"481",0.545454545454545,1,11,"binomialRF"
"482",0.857142857142857,1,7,"VSURF"
"483",1,1,6,"Boruta"
"484",0.857142857142857,1,7,"VarSelRF"
"485",NA,0,0,"PIMP"
"486",0.127659574468085,1,47,"AUCRF"
"487",0.0319148936170213,1,188,"Perm"
"488",0.857142857142857,1,7,"EFS"
"489",0.106382978723404,0.833333333333333,47,"RFE"
"490",0.222222222222222,1,27,"Vita"
"491",0.461538461538462,1,13,"binomialRF"
"492",0.625,0.833333333333333,8,"VSURF"
"493",1,1,6,"Boruta"
"494",0.545454545454545,1,11,"VarSelRF"
"495",NA,0,0,"PIMP"
"496",0.545454545454545,1,11,"AUCRF"
"497",0.0337078651685393,1,178,"Perm"
"498",0.75,1,8,"EFS"
"499",0.131578947368421,0.833333333333333,38,"RFE"
"500",0.171428571428571,1,35,"Vita"
